rating_band,chart_id,record_count,player_count,best50_count,best50_user_count,band_user_count,user_count,profile_count,total_users_in_band,best50_rate,avg_achievement,median_achievement,sss_rate,sss_plus_rate,sssplus_rate,avg_chart_rating,max_chart_rating,title,difficulty,level,internal_level,chart_type,category,is_new,best50_section
13500-13999,ベースラインやってる？笑__dx__master,1,1,1,1,2,2,2,2,0.5,98.9658,98.9658,0.0,0.0,0.0,269.0,269,ベースラインやってる？笑,master,13,13.4,dx,ゲーム＆バラエティ,False,old
13500-13999,愛包ダンスホール__dx__master,1,1,1,1,2,2,2,2,0.5,99.0742,99.0742,0.0,0.0,0.0,269.0,269,愛包ダンスホール,master,13,13.1,dx,POPS＆アニメ,False,old
13500-13999,インターネットサバイバー__dx__master,1,1,1,1,2,2,2,2,0.5,98.6574,98.6574,0.0,0.0,0.0,268.0,268,インターネットサバイバー,master,13,13.4,dx,東方Project,False,old
13500-13999,ウミユリ海底譚__std__master,1,1,1,1,2,2,2,2,0.5,98.6631,98.6631,0.0,0.0,0.0,268.0,268,ウミユリ海底譚,master,13,13.4,std,niconico＆ボーカロイド,False,old
13500-13999,ヴァンパイア__dx__remaster,1,1,1,1,2,2,2,2,0.5,98.6055,98.6055,0.0,0.0,0.0,268.0,268,ヴァンパイア,remaster,13,13.4,dx,niconico＆ボーカロイド,False,old
13500-13999,三日月ステップ 2023__dx__master,1,1,1,1,2,2,2,2,0.5,99.477,99.477,0.0,0.0,0.0,268.0,268,三日月ステップ 2023,master,13,13.0,dx,niconico＆ボーカロイド,False,new
13500-13999,フォニイ__dx__remaster,1,1,1,1,2,2,2,2,0.5,98.1841,98.1841,0.0,0.0,0.0,265.0,265,フォニイ,remaster,13,13.3,dx,niconico＆ボーカロイド,False,old
13500-13999,テオ__dx__master,1,1,1,1,2,2,2,2,0.5,98.7101,98.7101,0.0,0.0,0.0,264.0,264,テオ,master,13,13.2,dx,niconico＆ボーカロイド,False,old
13500-13999,リアライズ__dx__master,1,1,1,1,2,2,2,2,0.5,98.7131,98.7131,0.0,0.0,0.0,264.0,264,リアライズ,master,13,13.2,dx,niconico＆ボーカロイド,False,old
14000-14499,サイエンス__dx__master,6,6,6,6,7,7,7,7,0.8571,100.5619,100.5786,1.0,0.8333,0.8333,290.1667,292,サイエンス,master,13,13.0,dx,niconico＆ボーカロイド,False,new
14000-14499,ENERGY SYNERGY MATRIX__std__expert,5,5,5,5,7,7,7,7,0.7143,100.7182,100.6983,1.0,1.0,1.0,292.0,292,ENERGY SYNERGY MATRIX,expert,13,13.0,std,ゲーム＆バラエティ,False,old
14000-14499,氷滅の135小節__dx__expert,5,5,5,5,7,7,7,7,0.7143,100.1788,100.2119,0.8,0.2,0.2,290.2,301,氷滅の135小節,expert,13,13.4,dx,maimai,False,old
14000-14499,The wheel to the right__std__expert,4,4,4,4,7,7,7,7,0.5714,100.5546,100.5203,1.0,0.75,0.75,296.25,299,The wheel to the right,expert,13,13.3,std,オンゲキ＆CHUNITHM,False,old
14000-14499,三日月ステップ 2023__dx__master,4,4,4,4,7,7,7,7,0.5714,100.5385,100.5726,1.0,0.75,0.75,289.25,292,三日月ステップ 2023,master,13,13.0,dx,niconico＆ボーカロイド,False,new
14000-14499,フォニイ__dx__remaster,4,4,4,4,7,7,7,7,0.5714,100.3619,100.348,1.0,0.5,0.5,293.0,299,フォニイ,remaster,13,13.3,dx,niconico＆ボーカロイド,False,old
14000-14499,INTERNET OVERDOSE__dx__master,4,4,4,4,7,7,7,7,0.5714,100.1704,100.0883,0.75,0.25,0.25,292.5,303,INTERNET OVERDOSE,master,13,13.5,dx,POPS＆アニメ,False,old
14000-14499,Customized Justice__dx__expert,3,3,3,3,7,7,7,7,0.4286,100.5463,100.5391,1.0,1.0,1.0,292.0,292,Customized Justice,expert,13,13.0,dx,maimai,False,new
14000-14499,はじまりの未来__dx__master,3,3,3,3,7,7,7,7,0.4286,100.5819,100.5775,1.0,1.0,1.0,292.0,292,はじまりの未来,master,13,13.0,dx,niconico＆ボーカロイド,False,new
14000-14499,ワールドワイドワンダー__dx__master,3,3,3,3,7,7,7,7,0.4286,100.4834,100.5087,1.0,0.6667,0.6667,288.3333,292,ワールドワイドワンダー,master,13,13.0,dx,niconico＆ボーカロイド,False,old
14000-14499,スカーレット警察のゲットーパトロール24時__dx__master,3,3,3,3,7,7,7,7,0.4286,100.2981,100.1534,1.0,0.3333,0.3333,295.3333,303,スカーレット警察のゲットーパトロール24時,master,13,13.5,dx,東方Project,False,old
14000-14499,宙天__dx__expert,3,3,3,3,7,7,7,7,0.4286,99.9827,100.1594,0.6667,0.3333,0.3333,291.0,303,宙天,expert,13,13.5,dx,maimai,False,old
14000-14499,ウミユリ海底譚__std__master,3,3,3,3,7,7,7,7,0.4286,100.1549,100.0099,0.6667,0.3333,0.3333,290.6667,301,ウミユリ海底譚,master,13,13.4,std,niconico＆ボーカロイド,False,old
14000-14499,きゅうくらりん__dx__master,3,3,3,3,7,7,7,7,0.4286,99.9506,100.042,0.6667,0.0,0.0,293.3333,296,きゅうくらりん,master,13+,13.7,dx,niconico＆ボーカロイド,False,old
14000-14499,M@GICAL☆CURE! LOVE ♥ SHOT!__dx__master,3,3,3,3,7,7,7,7,0.4286,99.5183,99.2558,0.3333,0.0,0.0,286.6667,296,M@GICAL☆CURE! LOVE ♥ SHOT!,master,13+,13.6,dx,niconico＆ボーカロイド,False,new
14000-14499,病み垢ステロイド__dx__master,3,3,3,3,7,7,7,7,0.4286,99.3535,99.3403,0.0,0.0,0.0,286.6667,287,病み垢ステロイド,master,13+,13.8,dx,niconico＆ボーカロイド,False,old
