profile_id,profile_url,rating,rating_band,chart_id,song_id,title,displayed_title,difficulty,level,internal_level,chart_type,achievement,rank,chart_rating,calculated_chart_rating,best50_section,category,song_version,chart_version,is_new
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,VERTeX (rintaro soma deconstructed remix)__dx__master,VERTeX (rintaro soma deconstructed remix),VERTeX (rintaro soma deconstructed remix),VERTeX (rintaro soma deconstructed remix),master,14+,14.6,dx,100.1958,SSS,315,315,old,maimai,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,Titania__dx__master,Titania,Titania,Titania,master,14+,14.6,dx,100.0146,SSS,315,315,old,オンゲキ＆CHUNITHM,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,INFiNiTE ENERZY -Overdoze-__dx__master,INFiNiTE ENERZY -Overdoze-,INFiNiTE ENERZY -Overdoze-,INFiNiTE ENERZY -Overdoze-,master,14,14.0,dx,100.8346,SSS+,315,315,old,ゲーム＆バラエティ,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,一か罰__dx__remaster,一か罰,一か罰,一か罰,remaster,14,14.0,dx,100.6501,SSS+,315,315,old,maimai,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,Luminaria__dx__master,Luminaria,Luminaria,Luminaria,master,14,14.0,dx,100.6467,SSS+,315,315,old,ゲーム＆バラエティ,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,パラマウント☆ショータイム！！__dx__master,パラマウント☆ショータイム！！,パラマウント☆ショータイム！！,パラマウント☆ショータイム!!,master,14,14.0,dx,100.6462,SSS+,315,315,old,maimai,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,Horoscope Express__dx__master,Horoscope Express,Horoscope Express,Horoscope Express,master,14,14.0,dx,100.642,SSS+,315,315,old,maimai,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,B.B.K.K.B.K.K.__std__master,B.B.K.K.B.K.K.,B.B.K.K.B.K.K.,B.B.K.K.B.K.K.,master,14,14.0,std,100.6041,SSS+,315,315,old,ゲーム＆バラエティ,,,False
chan120714,https://maimai.shiftpsh.com/profile/chan120714/home,15845,15500-15999,Ai C__dx__master,Ai C,Ai C,Ai C,master,14,14.0,dx,100.562,SSS+,315,315,old,オンゲキ＆CHUNITHM,,,False
chuya75,https://maimai.shiftpsh.com/profile/chuya75/home,15983,15500-15999,Retribution ～ Cycle of Redemption ～__dx__master,Retribution ～ Cycle of Redemption ～,Retribution ～ Cycle of Redemption ～,Retribution ~ Cycle of Redemption ~,master,14,14.4,dx,100.5342,SSS+,324,324,new,ゲーム＆バラエティ,,,False
